#lon(degE) lat(degN)
58.0630 9.5324
58.0184 9.4501
58.2625 9.2926
58.1476 9.0898
58.4302 8.8626
58.2514 8.6469
58.6106 8.4008
58.9183 8.1669
58.8800 8.0972
59.3092 7.7683
59.2197 7.6731
60.1789 6.9508
60.0383 6.7669
60.6701 6.3098
61.1417 5.9095
61.6573 5.4897
61.5293 5.2616
61.9997 4.9113
62.4568 4.5227
63.0023 4.1081
62.8678 3.8929
63.3307 3.6307
63.3882 3.7001
63.8192 3.4821
63.8898 3.6022
64.6181 3.2170
64.6822 3.2990
65.2128 2.9208
65.4890 3.2991
65.9626 2.9715
66.3795 2.7520
66.1794 2.3925
65.9923 2.0520
66.3328 1.8587
66.6728 1.6209
66.4925 1.3314
66.8698 1.0679
66.6573 0.7220
67.1594 0.3371
66.8392 -0.0388
67.2089 -0.3398
67.0231 -0.5779
67.6620 -1.0396
67.3671 -1.4400
67.9291 -1.9130
67.7884 -2.0877
68.2490 -2.5402
67.8921 -2.8880
68.2702 -3.3513
68.6672 -3.7707
68.3485 -4.1176
68.7510 -4.5488
68.1985 -5.0419
68.6069 -5.4719
68.2191 -5.8910
67.7823 -6.2593
68.2738 -6.8109
nan nan
-46.7658 15.4506
-46.5287 16.5868
-46.5887 16.6067
-46.4072 17.5663
-46.5202 17.5883
-46.3907 18.4220
-46.3182 18.4215
-46.2243 18.9351
-46.1844 18.9319
-46.0015 19.8227
-45.9398 19.8022
-45.7737 20.6180
-45.5570 20.5958
-45.4187 21.2217
-45.5152 21.2465
-45.3853 21.8223
-45.2483 21.8064
-45.0658 22.9731
-45.0239 22.9632
-44.9245 23.6459
-46.4758 23.9174
-46.1961 24.5974
-46.1188 24.5904
-45.7915 25.2542
-45.4988 25.1918
-45.0917 26.0814
-44.8989 26.0554
-44.8163 26.2700
-44.8666 26.2796
-44.5059 27.2538
-44.3831 27.2355
-44.0217 28.1069
-43.9423 28.1049
-43.5632 28.8108
-43.4828 28.8021
-43.0882 29.4691
-43.0373 29.4714
-42.7286 30.0697
-42.1364 29.9733
-41.4304 31.2370
-41.1836 31.1941
-40.7100 31.8173
-40.5526 31.8025
-39.6999 33.0841
-39.5860 33.0673
-39.3993 33.7676
-37.7975 33.5012
-37.6776 33.7362
-37.5328 33.7052
-37.3364 34.1362
-37.2446 34.1238
-37.0461 34.5669
-36.8618 34.5542
-36.7846 34.7122
-36.6231 34.6929
-36.3731 35.2798
-34.7464 35.0102
-34.4595 35.6246
-34.3354 35.6160
-34.1424 36.0794
-34.0568 36.0713
-33.9816 36.2212
-33.7717 36.1850
-33.5947 36.7422
-33.3135 36.6910
-33.2246 36.9408
-33.0049 36.9159
-32.9431 37.0654
-32.7077 37.0333
-32.6456 37.1763
-32.3946 37.1369
-32.2826 37.3915
-31.5164 37.2823
-31.3713 37.7049
-31.0706 37.6802
-30.6055 38.4025
-30.4301 38.3883
-29.9091 39.3871
-29.7698 39.3996
nan nan
-46.7658 15.4506
-45.1300 15.2673
-45.1423 14.0261
-45.0614 13.9917
-45.0373 12.6799
-44.2620 12.6256
-44.2775 12.1008
-43.8845 12.0854
-43.9206 10.9270
-41.0871 10.7869
-41.0829 9.9794
-40.8615 9.9727
-40.8648 9.3894
-40.6402 9.3728
-40.6522 8.8406
-40.1196 8.8153
-40.1408 8.2154
-38.2210 8.1395
-38.2065 7.7033
-36.8648 7.6543
-36.8514 7.4009
-36.0577 7.3634
-36.0469 7.0232
-35.3665 6.9349
-35.3629 6.6139
-33.6244 6.6176
-33.6203 6.1042
-33.5136 6.0762
-33.5068 5.6495
-32.9780 5.6472
-32.8617 3.9604
-30.9625 4.0608
-30.7358 1.6427
-30.0269 1.6071
-29.9203 0.7974
-29.2096 0.8489
-28.3465 0.9530
-27.3153 1.0618
-26.4740 1.1592
-26.2887 0.4981
-25.0294 0.6141
-24.6117 -1.1033
-23.4897 -0.9643
-22.3813 -0.7964
-21.5437 -0.6802
-20.4899 -0.4967
-19.6747 -0.3334
-18.8497 -0.1761
-17.8889 0.0306
-16.7569 0.2686
-16.4982 0.2989
-16.2522 -0.5562
-16.0372 -0.5196
-15.8406 -1.1432
-15.5652 -1.0732
-15.4103 -1.4934
-13.1580 -0.9153
-12.7014 -2.0991
-12.1641 -1.9454
-11.8336 -2.8550
-12.0293 -3.0135
-11.7655 -3.9720
-12.0968 -4.1030
-12.0386 -4.5874
-12.1445 -4.6088
-12.0185 -5.0256
-11.6044 -4.9423
-11.5161 -5.4150
-11.1669 -5.3771
-11.0222 -5.9302
-11.2671 -6.0202
-11.1805 -6.7554
-13.6210 -7.3674
-13.3574 -8.4107
-13.1911 -8.3740
-13.0230 -9.2252
-13.2482 -9.2765
-13.1663 -9.7944
-13.3151 -9.8247
-13.0313 -11.4215
-15.0058 -11.8853
-14.9077 -12.3390
-14.8611 -12.3196
-14.7910 -12.6562
-14.5501 -12.5770
-14.4102 -13.2181
-14.5996 -13.2655
-14.4784 -14.2077
-13.6428 -14.0355
-13.2261 -15.6632
-13.3835 -15.6882
-13.2386 -16.2117
-14.3024 -16.4327
-14.2381 -16.7645
-14.3688 -16.7770
-14.0786 -17.9946
-12.9598 -17.7898
-12.7593 -18.7845
-12.4772 -18.7465
-12.2626 -19.9353
-11.9446 -19.8248
-11.8522 -20.2784
-11.9708 -20.2991
-11.7632 -21.1759
-12.0066 -21.2091
-11.8495 -21.7351
-11.9359 -21.7522
-11.8192 -22.1534
-12.9102 -22.3790
-12.8511 -22.6298
-13.8293 -22.8292
-13.6637 -23.5442
-13.5703 -23.5143
-13.2801 -24.7771
-13.8106 -24.8874
-13.6632 -25.6480
-14.0485 -25.7376
-13.8156 -26.5856
-13.6896 -26.5644
-13.2716 -28.3210
-12.7456 -28.2133
-12.5326 -28.9409
-13.9916 -29.2504
-13.8196 -29.8512
-13.7155 -29.8290
-13.3663 -31.1558
-13.4982 -31.1785
-13.2459 -32.1441
-14.5241 -32.4001
-14.3699 -33.3965
-14.7068 -33.4671
-14.5155 -34.0433
-15.2731 -34.2367
-15.0992 -35.1813
-17.8979 -35.6466
-17.2446 -38.4998
-16.8300 -38.4277
-16.4972 -39.5061
-16.5385 -39.5098
-16.4408 -39.7886
-16.6012 -39.8130
-16.4891 -40.2101
-16.9076 -40.2700
-16.3296 -43.3870
-16.2445 -43.6835
-15.5939 -45.4756
-14.8940 -45.3714
-14.7155 -45.8985
-13.8100 -45.7972
-13.3251 -47.5778
-10.4834 -47.1256
-9.7099 -49.2160
-8.1391 -48.9610
-8.0221 -49.2826
-7.9609 -49.2702
-7.6377 -50.0587
-7.4328 -50.0013
-7.1585 -50.6096
-5.1694 -50.2161
-4.2377 -52.0486
-3.9556 -51.9788
-2.3723 -54.3274
-1.3822 -54.0533
-0.4379 -54.8518
nan nan
69.9595 -25.6512
70.4086 -26.0604
70.6654 -25.9124
70.9943 -26.1873
71.1354 -26.0831
71.5800 -26.4544
71.7166 -26.3857
72.0656 -26.6560
72.0084 -26.7182
72.9202 -27.5728
73.1227 -27.4458
73.3995 -27.6550
73.5342 -27.5698
74.4058 -28.3173
74.1922 -28.5413
74.9940 -29.2645
74.9376 -29.3284
75.5539 -29.8394
75.3641 -30.0058
75.5149 -30.1176
75.3926 -30.2401
76.2045 -30.9057
76.1481 -30.9704
76.6894 -31.4649
76.3948 -31.7191
78.0858 -33.1942
77.3518 -33.8383
78.4879 -34.8067
78.4423 -34.8423
78.8035 -35.1612
78.2011 -35.6831
79.1839 -36.5109
78.0213 -37.4829
78.7061 -38.0006
78.1815 -38.3932
78.5293 -38.6592
78.0731 -39.0049
78.3839 -39.2620
78.0024 -39.5385
78.4254 -39.9049
77.8245 -40.3260
78.4837 -40.8664
78.6586 -40.8722
79.9900 -41.8919
80.9315 -41.1299
83.4390 -42.8896
85.8592 -40.8341
88.0599 -41.9974
88.4884 -41.6859
95.0405 -44.6195
94.9257 -44.8053
96.6975 -45.4707
95.8420 -46.5203
99.6243 -47.9781
100.2020 -47.2665
106.5540 -49.1009
106.6920 -48.8414
108.2850 -49.1823
108.2400 -49.2587
111.6080 -50.0234
114.2200 -50.5511
114.5820 -49.8067
116.4230 -50.1316
116.7450 -49.1555
118.6390 -49.5317
118.5490 -49.8012
120.1890 -50.0711
120.6720 -48.9043
121.7570 -49.0532
121.3860 -49.5162
121.4740 -49.5808
121.8870 -49.6985
122.3040 -49.7945
122.5540 -49.8127
122.7960 -49.7285
122.9280 -49.6307
122.9850 -49.4799
123.2040 -49.4755
123.3760 -49.4899
123.4480 -49.3190
123.5210 -49.1176
123.7690 -49.1230
123.9050 -48.8618
124.2140 -48.8471
124.5990 -48.8631
124.5320 -49.0144
124.8240 -49.0993
124.9930 -49.1518
124.8460 -49.4243
125.3140 -49.4792
125.8440 -49.5425
125.8920 -49.4411
126.1260 -49.4920
126.2650 -49.0454
126.4320 -48.6291
126.8630 -48.6980
126.8630 -48.6574
127.3110 -48.7650
127.5740 -48.8227
127.4480 -49.2708
127.2850 -49.6076
127.1670 -49.9437
127.0930 -50.1678
127.8070 -50.1898
127.5960 -50.0201
128.2620 -50.0806
128.7740 -50.1713
129.1070 -50.1732
129.7290 -50.2162
130.5640 -50.3089
131.2040 -50.3331
130.9250 -50.1010
131.4970 -50.1060
132.1990 -50.1319
132.7080 -50.1343
132.6930 -50.0332
133.4090 -50.0407
134.5580 -50.0636
136.1720 -50.0862
137.6390 -50.1323
139.0980 -50.1815
139.5990 -50.1853
139.7820 -51.9707
140.4250 -51.9878
140.7450 -54.2547
143.7560 -54.1536
143.9200 -54.7971
146.8830 -54.6959
147.9020 -57.5662
148.0760 -57.5271
148.8060 -57.4358
149.1500 -58.1044
149.6520 -58.9988
150.0060 -59.5704
150.7330 -59.4753
151.2900 -60.4126
153.6390 -59.9299
156.4570 -62.9143
160.8650 -61.5586
161.2280 -61.4567
nan nan
-76.0062 -45.6585
-76.6746 -45.6427
-77.6607 -45.7605
-77.7640 -45.5885
-77.9902 -45.0916
-78.2065 -44.4111
-78.8933 -44.5449
-80.2811 -44.7819
-81.9346 -44.9641
-82.1377 -44.4040
-82.3507 -43.6390
-82.5089 -42.8607
-83.4475 -42.9815
-83.4538 -42.8730
-83.6037 -42.2225
-83.8269 -41.1247
-85.1484 -41.2533
-87.3364 -41.5213
-87.4171 -41.2729
-88.4467 -41.3187
-90.0540 -41.4319
-90.0876 -41.0585
-91.3910 -41.1025
-91.4756 -40.7319
-91.5483 -39.8329
-91.6579 -38.8656
-93.0225 -38.9673
-93.0748 -38.4294
-93.9963 -38.4823
-94.0931 -37.7170
-94.1298 -37.0006
-95.6889 -36.9646
-97.4131 -36.8710
-97.4017 -36.2936
-98.4167 -36.1928
-100.6450 -36.0632
-103.2020 -35.7781
-104.7930 -35.6055
-105.9880 -35.4388
-107.3430 -35.3445
-108.7970 -35.1319
-110.0270 -35.0202
-110.8570 -34.9317
nan nan
161.2280 -61.4567
161.9750 -61.7630
163.2020 -62.6599
163.7730 -62.4746
164.2750 -62.3219
164.7680 -62.1772
165.1030 -62.0772
165.6530 -62.4727
165.9690 -62.6676
166.6200 -63.0869
166.8580 -63.2206
167.5500 -62.9712
168.2770 -62.7732
168.7080 -62.6321
169.2380 -62.4461
169.6050 -62.6762
170.0680 -62.9724
170.4410 -63.1488
171.0090 -63.4473
171.6400 -63.8072
172.1640 -64.0974
172.5200 -64.2561
173.6310 -64.7379
174.2420 -64.5079
174.8140 -64.3149
175.1620 -64.1741
175.5820 -63.9840
176.0630 -64.1878
176.5490 -64.4101
176.8190 -64.5060
177.3380 -64.7362
177.8890 -64.9749
178.2400 -65.0791
178.7590 -65.2740
179.3810 -65.4773
179.9630 -65.7385
nan nan
-179.1970 -65.9859
-178.7930 -66.1632
-177.9260 -65.8623
-177.0720 -65.6069
-175.7290 -65.1825
-175.0700 -65.5050
-174.4180 -65.8352
-173.7090 -65.5061
-172.5170 -64.9783
-171.3000 -64.3564
-170.0430 -64.8585
-169.8390 -64.7637
-169.1090 -64.2448
-168.3790 -63.7303
-167.5130 -63.1060
-166.6080 -62.4900
-166.1990 -62.6056
-165.1490 -63.0070
-163.9210 -63.4667
-163.0010 -62.9675
-162.0610 -62.3936
-161.3380 -62.6144
-160.4300 -62.9233
-159.8880 -62.5954
-158.7030 -63.0044
-158.3940 -62.7885
-157.6010 -63.0700
-156.7170 -63.3240
-156.0220 -62.9525
-155.2540 -62.4327
-154.3240 -61.7762
-154.1810 -61.8361
-153.6610 -61.3992
-152.9430 -60.8407
-151.3290 -59.4694
-150.3820 -59.7176
-149.8090 -59.3141
-149.2640 -58.8221
-148.2760 -58.1300
-147.6920 -57.5547
-147.1670 -57.6379
-146.6810 -57.3076
-145.9790 -56.6686
-144.8570 -55.7842
-144.4820 -55.9103
-143.3240 -56.2625
-142.0860 -56.6193
-140.3250 -57.0528
-140.0410 -56.7722
-139.5450 -56.2678
-139.1910 -55.7249
-139.5780 -55.6146
-139.2530 -55.2509
-138.7990 -54.7123
-137.8900 -53.5679
-137.5220 -53.6878
-136.5900 -53.9067
-136.1800 -53.3957
-135.3070 -53.6430
-134.2050 -53.8871
-132.8700 -54.2371
-131.3750 -54.6229
-130.0590 -54.9314
-128.6240 -55.3215
-127.2310 -55.5654
-126.8000 -55.0641
-126.1970 -55.1382
-125.0770 -55.4541
-123.4420 -55.7150
-121.8620 -56.0262
-121.6350 -55.8321
-121.2280 -55.2189
-120.6630 -54.4098
-119.6850 -54.6416
-118.5810 -54.8185
-118.3130 -54.3503
-118.0370 -53.6908
-117.6610 -53.1241
-118.9770 -52.8974
-118.8750 -52.7524
-118.4220 -52.2120
-117.8240 -51.3309
-117.2250 -50.4178
-116.3880 -49.3675
-115.2330 -49.5892
-113.8750 -49.8489
-113.7450 -49.3574
-113.3150 -48.3242
-112.9500 -47.2221
-112.4260 -45.8544
-112.6750 -45.8327
-112.5500 -45.4942
-112.2160 -44.3811
-111.7300 -43.1659
-111.3490 -42.2004
-110.9540 -42.2487
-110.8320 -41.3555
-110.6770 -40.1638
-110.3910 -38.9858
-111.2700 -38.9785
-111.2680 -38.8776
-110.8690 -37.6741
-110.4710 -36.4102
-110.7390 -36.3578
-110.7150 -36.2186
-110.5790 -35.8301
-110.8950 -35.7967
-110.8770 -35.3191
-110.8570 -34.9317
nan nan
-0.4379 -54.8518
-1.0390 -55.0190
-1.6059 -55.1293
-1.6137 -55.6529
-2.0800 -55.6568
-2.8963 -55.7072
-3.7202 -55.7399
-4.0560 -55.7694
-4.6906 -55.8072
-4.6755 -56.2102
-4.6934 -56.5916
-5.4483 -56.6270
-6.0568 -56.6721
-6.0943 -56.9823
-6.1303 -57.2402
-6.5381 -57.2700
-6.9992 -57.3176
-7.0128 -57.6172
-7.0090 -57.8694
-7.5248 -57.9204
-8.6068 -57.9888
-9.8853 -58.0915
-11.1897 -58.1577
-12.6489 -58.2406
-13.9543 -58.3173
-15.0689 -58.3904
-15.9715 -58.4388
-16.0047 -58.4593
-16.2258 -58.7672
-16.4100 -59.0984
-16.9169 -59.0982
-17.6670 -59.1289
-18.0600 -59.1526
-18.1233 -59.5093
-18.4325 -59.5423
-18.5472 -59.9376
-18.6464 -60.2500
-19.3705 -60.2891
-19.5812 -60.8108
-21.7186 -60.7441
-24.1069 -60.6917
-26.0709 -60.3910
nan nan
-26.0709 -60.3910
-25.0688 -59.9757
-24.4524 -59.3878
-23.9866 -58.9214
-23.8204 -58.1952
-24.1300 -57.4286
-24.2304 -57.1728
-25.1449 -56.2939
-26.4127 -55.4256
-27.5674 -54.8979
nan nan
-27.5674 -54.8979
-28.2762 -54.8293
-29.8949 -54.8894
-31.7669 -54.8110
-33.5576 -54.6467
-34.3849 -54.2711
-35.4715 -53.7283
-36.2931 -53.2712
-37.7602 -53.2703
-39.5635 -53.3956
-40.2822 -53.2811
-40.9030 -53.0793
-41.7079 -52.4771
-43.4004 -52.6924
-44.4771 -52.8458
-46.3712 -52.8474
-48.0179 -53.0479
-49.9324 -53.7471
-51.9753 -54.1185
-53.5118 -54.6080
-55.8412 -54.8172
-57.3688 -55.2448
-58.1537 -55.1399
-59.9159 -55.3607
-61.4250 -54.9954
-62.7036 -55.1280
-64.3396 -55.4678
-65.6163 -55.9899
-66.5732 -56.5876
-67.2812 -57.1844
nan nan
-67.2812 -57.1844
-68.2775 -56.9331
-69.8181 -56.5923
-71.0621 -56.2506
-73.0708 -55.5195
-74.4942 -54.8050
-75.8879 -53.8418
-76.1836 -53.1113
-76.4823 -52.2024
-76.6257 -51.3775
-76.7565 -50.7289
-76.9898 -49.8446
-77.0240 -49.1923
-76.9255 -48.5065
-76.6497 -47.8746
-75.9972 -47.0799
-75.9581 -46.4220
-76.0062 -45.6585
nan nan
65.0282 24.3824
64.1615 24.3498
63.3656 24.2854
62.5806 24.2830
61.9554 24.0869
61.3646 24.1220
60.3741 24.2315
